Topic,Title,ID,Comments,Noushin,Khiem,Anno-3,Label,Likes
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"When you lose the youth, scholars, and innovators then you are left with only the most unhealthy, uneducated, and unadaptive people.
I give the same warning to my Russian cousins that I have given to my Republican siblings many times. You either grow or you wither.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Down with Putin. Down with Trump. Down with all tyrants, dictators, autocrats, and oligarchs. Freedom, liberty and justice for all.",1,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Requiring citizens to stay and live in captivity is strange.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Keep it up Putin! The world needs to see exactly what kind of person you are. The person the Trump and the GOP fell all over and defended.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,*Pay Attention America! Protect your freedom of speech! Protect your Democracy! Vote! Vote for Democracy! Vote Democrat! Stop trumputin's war on on American Democracy! Vote!*,1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Kane Francis  you’re calling President Biden names? Why don’t you join our Patriotic Americans and fight with Ukraine.,1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"If we don't learn from history we get to repeat history,,",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,15 years in jail for peaceful protesting? That is unheard of,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,It just shows you how these leaders ain't for the people,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"For this century, the greatest person, that will have everlasting fame, and rightfully so, will be the individuals, that put Putin down, THOSE that will do this, will forever be looked upon, as one of the very few true heros in ALL of the history of mankind.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Yes, it seems that there are some Russians who want to flee Russia via Finland to other countries. Finland-Russia land border is open, while Estonia might have closed their Russian border.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Russia has always had an impressive creative class: musicians, artists, filmmakers, writers.  These people will not be supporters of Putin or conservative ""values"".  They will leave.  The country will be occupied by uneducated or military.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,why does putin want to go back to something that failed...reminds me of repugs here trying to go back to worse times,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"One way to end this war is if no one shows up to fight Ukrainians. Good guess that roughly 1% of the Russian population is now engaged in this war (front lines plus support behind them might be 1.5 million). With 15,000 dead (1% of those engaged) and likely 3 times more seriously injured, every Russian engaged in this war knows more than one person who is dead or injured. As long as Ukrainians continue inflicting casualties, at some point Russians will expect to die or get injured. Between this and lack of funds, Putin could possibly run out of people willing to commit war crimes for him. We should make it really easy for Russians of military age to leave Russia.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Aiding the enemy used to be called Treason, and now it's called being a republican!!!",1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Terrible news for Putin and great news for Zelenskyy and Ukraine is that nothing has motivated the believers in God Almighty from around the world to pray in total ageement for stenghth, mercy and victory for Ukraine, and woe, frustration and utter defeat for Putin. Can't you see God's hand? Never underestimate the power of intense unified prayer of God's people!!",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"""they do not have the economy of Europe"". This is an understatement. Russia does not come close to it at all. Look at the numbers.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Just think, DeSantis probably agrees with this.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,With everything is sanctioned I would flee too,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"we should learn something from this, that putins favorite president will not work in this country, and should not be allowed.",0,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Dear Russia
You did enough the last time. Stay out.
 Sincerely, Argentina",1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Long live Ukrainians and Russia freedom people,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"And pootin called the insurrectionists ""political prisoners ""🤨",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"The problem with not doing sanctions that hit the average person, is that they are often times the same type of sanctions necessary to cripple a military. It's absolutely awful what these sanctions will do to average Russian people. But unfortunately, the west is going with an ""everything we can do, we will do"" policy to first and foremost, not enter into the war, and secondly to aid Ukraine in the crisis of this war. I hope the second these sanctions can be lifted that they are. But if Russia continues, i say keep the dials out of their favor. For every Russian going through dire straits economically (or worse. they were conscripted and are now dead because of an unjust action from a few rich oligarchs, and Putin.), some Ukrainian had their home bombed. There is no economic recovery for the dead.",0,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,I have seen comics and games with countries run by super-villains run better than Russia right now. Just saying Dr. Doom and Lord Recluse at least cultivated good P.R. in between war-crimes.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,That's what happens when you elect a right wing populist.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Regarding the total repression/oppression, lack of real economy, etc.:

Putin's Russia = the next North Korea. 🤔",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"I've never heard of anyone wanting to immigrate to Russia, EVER!",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Anyone who still think putin has their best at heart try seat down with a T-shirt 👕 that says please stop the war and see the importance of what freedom is all about.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,How could someone live in Russia rn without thinking this is all totally nuts with everything that’s happening there like the removal of basic human rights,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"do you like liveing in russia ?
i can not complain !!!

old russian joke, this in reality is not a joke",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,I would sure want to get off a sinking ship too.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Gee....listening to the news, it's just so weird that this hasn't been happening for decades in...I dunno...Africa.  It's just Europe, so we must all hear about it nonstop.",1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"They don't even have the economy of CANADA!!! The GDP of Russia is INFERIOR to ours. The ONLY reason they can field a 300,000 strong military, is by giving the population PEANUTS and using mostly OLD weapon systems and an underpaid conscript army. The professionals get the better systems, but those systems are RARE and once they are gone, it's over... As far as their military is concerned, if you take away the Nukes, they are like Iraq, when the Allies went for the FIRST Gulf war. They are HUGE, filled with tanks and arty and jets... But WAY underclassed, in fighting doctrine AND in equipment quality. Quantity DOES have a quality of its own. But past a certain adversarial technological advantage, it becomes a junkyard filled with corpses and twisted metal. 
EVERYBODY was afraid of the NUMBERS... Of the Cold war SOVIET threat and how much it was respected and feared... BULL!!! I would have thought that the 1990 war would have at LEAST shown that much to the Russians... Numbers don't mean SHIAT against more modern foes. Those anti-tank missiles and low-level AA stingers ARE exchanging 80,000$ - 200,000$ missiles, for 2 Million$ Tanks or 15 Million$ Ka-52M Attack choppers. Look at what a mostly infantry force can do to a combined arms army. Just in the last 18 days, they destroyed more Russian equipment than the US lost in the last 20 years in the middle-east. With better AA for High altitude defense and MORE missiles to take out the armor, PLUS counterfire radars and systems that can REACH the Russian arty positions, Ukraine wins this in a week. 
IF Putin wasn't crazy enough to use chemical weapons. What NATO should say to Putin, is that as SOON as the SOURCE that launches any Chemical attack is localized, THAT will be destroyed. PERIOD... Just THAT unit.. Any interference means a full-on assault by NATO. It's about TIME we put that crazy mafia don OUT of commission before he does us all in. Not every Russian big-shot wants a Russian empire or hates the West. The NEXT leader could be a lot better. 
The ONLY reason why Russia is scary, is because of the Nukes. Otherwise, it's just a backwater country that sees its people like cannon fodder and slaves.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"😆actually,the whole Russia is one big jail,so...",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Here is a thought. Why can't we get into the minds of the personnels minding the nuclear weapons and get them to implode.......,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"My Grandfather was from Ireland and was persecuted by an Authoritarian English Government . 
He came to the US because HE BELIEVED IN DEMOCRACY . Do you ?...My guess is this BS and you don't.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"THE YOUNG GENERATIONS IN RUSSIA ARE STEPPING UP..
MAY GOD WATCH OVER THEM...
GOD SPEED....",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,What's the difference between me and you. Right and wrong matters. All of our voted officials let Putin fester because both parties benefited. Like all the gop accepting Russian money. Every soldier who ever lived are turning over in their graves,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,It's no longer a question of getting worse before it gets better. It is already worse for the people of Ukraine. It is now a question of how much worse can it get?,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Russia under putin is just like a little kid who's dragging his feet, and is too pigheaded 
to see the wood through the trees.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Putin must feel really dumb right now,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Does not really matter if your Russian, Ukrainian, some kind of Nato bloke or Asian. Could we please tell our so called country leaders that we are bloody tired of this insane stupidity???  Getting kinda fed up with politics being valued more than humanity...",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,They’re getting the old Soviet Union back.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Same repression that is in Rusia is in Cuba too with children in prison because they protested for freedom and food and medicine. 😳,1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"You all should come together and protest, they can't put the whole country in prison. United we stand United we fall",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,2022 needs to slow down a bit..peace and love people peace ✌️ and love..the world is to beautiful most people are good people even though evil is always creepy around the corner..,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"I'm going to sign out for a bit,Its too much,Seeing that The Ukrainians aren't given more help to stop Putins Horrific War,  these people don't deserve this.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Why would they fight the regime and gain their freedom ? Running is so easy,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Do not be afraid to fight for your freedom even giving up your life for the sake of democracy. In union there is strength. You can defeat putin. Evil has no place in this world.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Russia doesn't even have the economy of Canada by itself, let alone USA + Europe. Look up any chart of GDP by nation. All Russia has is nukes. It's basically heading in the direction of North Korea, but with gas, and a better view.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Yet trump & 75 million trumpions just love love love themselves some putin pie.,1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,God bless Ukraine,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Funny we havent heard one word out of Senile Senator Bernie Sanders in weeks.,1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,This is Russia... the Russians needs to take Putin out..,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"It's strange Russia is letting so many of its citizens leave.  In Soviet times, they needed permission to leave the Soviet Union.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,China has ruined their environment and loyalty with true resolve for those economic gains,1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,They dont wanna protest ?? So they flee out ? Dont let them out.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"We (Americans) should have made it VERY clear to Russia that Ukraine was to be off limits BEFORE they invaded. Also, Putin must have thought that we would not want another war after Afghanistan, just how we didn't want a WW2 after a WW1. If our country's citizens actually stood by freedom instead of just preaching it, this war would not have happened. That's what would have deterred Putin. By stating that we would not be sending troops to Ukraine & thus not being strategically ambiguous, & by appeasing to Putin after the annexation of Crimea, the government AND the citizenry, gave Putin & Lukashenko the green light, just like we did to Hitler before WW2. Same goes for Taiwan.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Not only do we have Ukrainian refugees we have Russian refugees. A extremely sad state of affairs.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Dan coats came to me my intelligence people came to me and said that it's Russia I will tell you this I don't see why it would be Russia....,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Lol bs they don’t know why they’re there. They’ve been fighting this war for 8 years,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,All because one man can’t get his head out of the Soviet 1970’s.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"I been watching memes too long. I legit thought he was gonna say ""an uprising in the streets, an uprising in the sheets.""",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Maybe that brain drain can come to USA and help us fight fascism,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Great analysis!,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,They are already in a prison.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"If I ought to choose, I'll choose the Gadaffi scenario. My next most desired scenario is the Beria scenario.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Poor Russian people 😢,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,How would any Russiàn perant feel if they got a message from a son in Ukrain on what he has not just witnessed be did to a an inosent family just trying to get on with life; Pride? Word will get back to the Russian people no matter what,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Wow.  Russians are leaving.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Congress unless it’s republicans did not give themselves a raise,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Public knows what's really happening.... sick stuff.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"They're going to restrict international travel. 

Also, I wonder what will happen to Snowden.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,If I was in Russia I'd leave because we the many if the population in the world will make sure God's Help to sacrifice for the Democracy if the world.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Of Russia is stopped...we have to learn from the consequences of excessive punishment afterwards.
Build up the society after so they never want to go back",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"The greatest value of democracies is the peaceful transition of power to a new government.
The alternative are coups, revolutions or monarchy.
That is also what made Trump dangerous, he tried to end the peaceful transition of power, as he thinks like a monarch.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Stay and fight. Like the Ukrainians, whose heroism and devotion to country is putting the rest of the world to shame.",0,0,0,0,
ukraine war news,"Russia is aware it is not winning the war in Ukraine, says Brookings senior fellow",https://www.youtube.com/watch?v=KI-cQgxlaIE,"We all feel for Ukraine. In bird`s eye view though, there are no more imortant task at hand than to avoid a global/nuclear war. In the end we may find ourselves stuck between a rock and a hard place. Pragmatism is key. There are no winners.",0,0,0,0,
ukraine war news,"Russia is aware it is not winning the war in Ukraine, says Brookings senior fellow",https://www.youtube.com/watch?v=KI-cQgxlaIE,"You'd be absolutely insane to lift any sanctions against Russia. That would send a complete wrong message, that it's ok to flatten a country for a few weeks then go back to normal. NO THANK YOU!",0,0,0,0,
ukraine war news,"Russia is aware it is not winning the war in Ukraine, says Brookings senior fellow",https://www.youtube.com/watch?v=KI-cQgxlaIE,What about the cost of rebuilding Ukraine ? What about the Russian demands beyond’s neutrality ? Seems this guy is negotiating on behalf of the Russians and not supporting Ukraine.,0,1,1,1,
ukraine war news,"Russia is aware it is not winning the war in Ukraine, says Brookings senior fellow",https://www.youtube.com/watch?v=KI-cQgxlaIE,"""Minimum objective they would accept"", are you joking? They will have to leave tail between their legs, face the international court, and pay for all they have done to Ukraine.",0,0,0,0,
ukraine war news,"Russia is aware it is not winning the war in Ukraine, says Brookings senior fellow",https://www.youtube.com/watch?v=KI-cQgxlaIE,"“Neutrality” for Ukraine is the demand of the wolf that the sheep should kneel quietly and allow him to dine at leisure, in peace.",0,0,0,0,
ukraine war news,"Russia is aware it is not winning the war in Ukraine, says Brookings senior fellow",https://www.youtube.com/watch?v=KI-cQgxlaIE,"Mark Ohanlon's stance is entirely flawed
Any negotiation of a settlement with Russia at this point has to come with 

1. full Reparations for the damage it caused
2. Apologies from Russia as a country to Ukraine and the Ukrainian People 
3. Removal of all Russian troops from contested areas including Crimea and no further aid being sent separatist groups in the region.  

The Brookings Institute's stance is untenable to preventing this from happening again.",0,0,0,0,
