Comment,Label
"One way to end this war is if no one shows up to fight Ukrainians. Good guess that roughly 1% of the Russian population is now engaged in this war (front lines plus support behind them might be 1.5 million). With 15,000 dead (1% of those engaged) and likely 3 times more seriously injured, every Russian engaged in this war knows more than one person who is dead or injured. As long as Ukrainians continue inflicting casualties, at some point Russians will expect to die or get injured. Between this and lack of funds, Putin could possibly run out of people willing to commit war crimes for him. We should make it really easy for Russians of military age to leave Russia.",0
"Aiding the enemy used to be called Treason, and now it's called being a republican!!!",1
"Terrible news for Putin and great news for Zelenskyy and Ukraine is that nothing has motivated the believers in God Almighty from around the world to pray in total ageement for stenghth, mercy and victory for Ukraine, and woe, frustration and utter defeat for Putin. Can't you see God's hand? Never underestimate the power of intense unified prayer of God's people!!",0
"""they do not have the economy of Europe"". This is an understatement. Russia does not come close to it at all. Look at the numbers.",0
"Just think, DeSantis probably agrees with this.",0
With everything is sanctioned I would flee too,0
"we should learn something from this, that putins favorite president will not work in this country, and should not be allowed.",1
"Dear Russia
You did enough the last time. Stay out.
 Sincerely, Argentina",1
Long live Ukrainians and Russia freedom people,0
"And pootin called the insurrectionists ""political prisoners ""🤨",0
"The problem with not doing sanctions that hit the average person, is that they are often times the same type of sanctions necessary to cripple a military. It's absolutely awful what these sanctions will do to average Russian people. But unfortunately, the west is going with an ""everything we can do, we will do"" policy to first and foremost, not enter into the war, and secondly to aid Ukraine in the crisis of this war. I hope the second these sanctions can be lifted that they are. But if Russia continues, i say keep the dials out of their favor. For every Russian going through dire straits economically (or worse. they were conscripted and are now dead because of an unjust action from a few rich oligarchs, and Putin.), some Ukrainian had their home bombed. There is no economic recovery for the dead.",1
I have seen comics and games with countries run by super-villains run better than Russia right now. Just saying Dr. Doom and Lord Recluse at least cultivated good P.R. in between war-crimes.,0
That's what happens when you elect a right wing populist.,0
"Regarding the total repression/oppression, lack of real economy, etc.:

Putin's Russia = the next North Korea. 🤔",0
"I've never heard of anyone wanting to immigrate to Russia, EVER!",0
Anyone who still think putin has their best at heart try seat down with a T-shirt 👕 that says please stop the war and see the importance of what freedom is all about.,0
How could someone live in Russia rn without thinking this is all totally nuts with everything that’s happening there like the removal of basic human rights,0
"do you like liveing in russia ?
i can not complain !!!

old russian joke, this in reality is not a joke",0
I would sure want to get off a sinking ship too.,0
"Gee....listening to the news, it's just so weird that this hasn't been happening for decades in...I dunno...Africa.  It's just Europe, so we must all hear about it nonstop.",1
"They don't even have the economy of CANADA!!! The GDP of Russia is INFERIOR to ours. The ONLY reason they can field a 300,000 strong military, is by giving the population PEANUTS and using mostly OLD weapon systems and an underpaid conscript army. The professionals get the better systems, but those systems are RARE and once they are gone, it's over... As far as their military is concerned, if you take away the Nukes, they are like Iraq, when the Allies went for the FIRST Gulf war. They are HUGE, filled with tanks and arty and jets... But WAY underclassed, in fighting doctrine AND in equipment quality. Quantity DOES have a quality of its own. But past a certain adversarial technological advantage, it becomes a junkyard filled with corpses and twisted metal. 
EVERYBODY was afraid of the NUMBERS... Of the Cold war SOVIET threat and how much it was respected and feared... BULL!!! I would have thought that the 1990 war would have at LEAST shown that much to the Russians... Numbers don't mean SHIAT against more modern foes. Those anti-tank missiles and low-level AA stingers ARE exchanging 80,000$ - 200,000$ missiles, for 2 Million$ Tanks or 15 Million$ Ka-52M Attack choppers. Look at what a mostly infantry force can do to a combined arms army. Just in the last 18 days, they destroyed more Russian equipment than the US lost in the last 20 years in the middle-east. With better AA for High altitude defense and MORE missiles to take out the armor, PLUS counterfire radars and systems that can REACH the Russian arty positions, Ukraine wins this in a week. 
IF Putin wasn't crazy enough to use chemical weapons. What NATO should say to Putin, is that as SOON as the SOURCE that launches any Chemical attack is localized, THAT will be destroyed. PERIOD... Just THAT unit.. Any interference means a full-on assault by NATO. It's about TIME we put that crazy mafia don OUT of commission before he does us all in. Not every Russian big-shot wants a Russian empire or hates the West. The NEXT leader could be a lot better. 
The ONLY reason why Russia is scary, is because of the Nukes. Otherwise, it's just a backwater country that sees its people like cannon fodder and slaves.",0
"😆actually,the whole Russia is one big jail,so...",0
Here is a thought. Why can't we get into the minds of the personnels minding the nuclear weapons and get them to implode.......,0
"My Grandfather was from Ireland and was persecuted by an Authoritarian English Government . 
He came to the US because HE BELIEVED IN DEMOCRACY . Do you ?...My guess is this BS and you don't.",0
What's the difference between me and you. Right and wrong matters. All of our voted officials let Putin fester because both parties benefited. Like all the gop accepting Russian money. Every soldier who ever lived are turning over in their graves,0
It's no longer a question of getting worse before it gets better. It is already worse for the people of Ukraine. It is now a question of how much worse can it get?,0
"Russia under putin is just like a little kid who's dragging his feet, and is too pigheaded 
to see the wood through the trees.",0
Putin must feel really dumb right now,0
"Does not really matter if your Russian, Ukrainian, some kind of Nato bloke or Asian. Could we please tell our so called country leaders that we are bloody tired of this insane stupidity???  Getting kinda fed up with politics being valued more than humanity...",0
They’re getting the old Soviet Union back.,0
Same repression that is in Rusia is in Cuba too with children in prison because they protested for freedom and food and medicine. 😳,1
"You all should come together and protest, they can't put the whole country in prison. United we stand United we fall",0
2022 needs to slow down a bit..peace and love people peace ✌️ and love..the world is to beautiful most people are good people even though evil is always creepy around the corner..,0
"I'm going to sign out for a bit,Its too much,Seeing that The Ukrainians aren't given more help to stop Putins Horrific War,  these people don't deserve this.",0
Why would they fight the regime and gain their freedom ? Running is so easy,0
Do not be afraid to fight for your freedom even giving up your life for the sake of democracy. In union there is strength. You can defeat putin. Evil has no place in this world.,0
"Russia doesn't even have the economy of Canada by itself, let alone USA + Europe. Look up any chart of GDP by nation. All Russia has is nukes. It's basically heading in the direction of North Korea, but with gas, and a better view.",0
Yet trump & 75 million trumpions just love love love themselves some putin pie.,1
Funny we havent heard one word out of Senile Senator Bernie Sanders in weeks.,1
This is Russia... the Russians needs to take Putin out..,0
"It's strange Russia is letting so many of its citizens leave.  In Soviet times, they needed permission to leave the Soviet Union.",0
China has ruined their environment and loyalty with true resolve for those economic gains,1
They dont wanna protest ?? So they flee out ? Dont let them out.,0
"We (Americans) should have made it VERY clear to Russia that Ukraine was to be off limits BEFORE they invaded. Also, Putin must have thought that we would not want another war after Afghanistan, just how we didn't want a WW2 after a WW1. If our country's citizens actually stood by freedom instead of just preaching it, this war would not have happened. That's what would have deterred Putin. By stating that we would not be sending troops to Ukraine & thus not being strategically ambiguous, & by appeasing to Putin after the annexation of Crimea, the government AND the citizenry, gave Putin & Lukashenko the green light, just like we did to Hitler before WW2. Same goes for Taiwan.",0
Not only do we have Ukrainian refugees we have Russian refugees. A extremely sad state of affairs.,0
Dan coats came to me my intelligence people came to me and said that it's Russia I will tell you this I don't see why it would be Russia....,0
Lol bs they don’t know why they’re there. They’ve been fighting this war for 8 years,0
All because one man can’t get his head out of the Soviet 1970’s.,0
"I been watching memes too long. I legit thought he was gonna say ""an uprising in the streets, an uprising in the sheets.""",0
Maybe that brain drain can come to USA and help us fight fascism,0
Great analysis!,0
They are already in a prison.,0
"If I ought to choose, I'll choose the Gadaffi scenario. My next most desired scenario is the Beria scenario.",0
Poor Russian people 😢,0
How would any Russiàn perant feel if they got a message from a son in Ukrain on what he has not just witnessed be did to a an inosent family just trying to get on with life; Pride? Word will get back to the Russian people no matter what,0
Wow.  Russians are leaving.,0
Congress unless it’s republicans did not give themselves a raise,0
Public knows what's really happening.... sick stuff.,0
"They're going to restrict international travel. 

Also, I wonder what will happen to Snowden.",0
If I was in Russia I'd leave because we the many if the population in the world will make sure God's Help to sacrifice for the Democracy if the world.,0
"Of Russia is stopped...we have to learn from the consequences of excessive punishment afterwards.
Build up the society after so they never want to go back",0
"The greatest value of democracies is the peaceful transition of power to a new government.
The alternative are coups, revolutions or monarchy.
That is also what made Trump dangerous, he tried to end the peaceful transition of power, as he thinks like a monarch.",0
"Stay and fight. Like the Ukrainians, whose heroism and devotion to country is putting the rest of the world to shame.",0
"We all feel for Ukraine. In bird`s eye view though, there are no more imortant task at hand than to avoid a global/nuclear war. In the end we may find ourselves stuck between a rock and a hard place. Pragmatism is key. There are no winners.",0
"You'd be absolutely insane to lift any sanctions against Russia. That would send a complete wrong message, that it's ok to flatten a country for a few weeks then go back to normal. NO THANK YOU!",0
What about the cost of rebuilding Ukraine ? What about the Russian demands beyond’s neutrality ? Seems this guy is negotiating on behalf of the Russians and not supporting Ukraine.,1
"""Minimum objective they would accept"", are you joking? They will have to leave tail between their legs, face the international court, and pay for all they have done to Ukraine.",0
"“Neutrality” for Ukraine is the demand of the wolf that the sheep should kneel quietly and allow him to dine at leisure, in peace.",0
"Mark Ohanlon's stance is entirely flawed
Any negotiation of a settlement with Russia at this point has to come with 

1. full Reparations for the damage it caused
2. Apologies from Russia as a country to Ukraine and the Ukrainian People 
3. Removal of all Russian troops from contested areas including Crimea and no further aid being sent separatist groups in the region.  

The Brookings Institute's stance is untenable to preventing this from happening again.",0
"Diplomacy is absolutely not an option when u deal with psychopaths, just like u dont negotiate with terrorists, all u do is give them more time to gather more resources and to plan a bigger/more devastating attack when others are least expecting it. If a country has this kind of ""human-being"" as its leader, there will be no way to sustain peace and human progress period.",0
"Great Stuff. I started watching your videos last year as a beginner before giving stock market a trial. I was able to make $972,000 within 3 Months with a capital of $200,000. keep it up!",0
"So, the Budapest Memorandum back in 1994 was just another worthless piece of paper? I thought it was to protect Ukraine’s independence, sovereignty, and existing borders. Russia signed that treaty! It also reaffirmed countries would refrain from the threat or use of force against Ukraine?",1
"""In spite of temporary victories, violence never brings permanent peace."" — Dr. Martin Luther King Jr.",0
"Sanctions should last at least 2 years and then be ""re considered"" upon Russia abiding by any agreement.",0
"the difference between ""looking dangerous"" and ""being dangerous"".Russia 
describes military doctrine as defensive military doctrine. With regard 
to nuclear weapons specifically, Russia reserves the right to use 
nuclear weapons: in response to the use of nuclear and other types of 
weapons of mass destruction against it or its allies,in case of 
aggression against Russia with the use of conventional weapons when the 
very existence of the state is threatened. oops

befor saying i am a bot clicking on name show i not a bot",0
Why are you lying? This will definitely not help Ukraine now.,0
"when it comes to money, memories grow fonder real fast",0
"The senior guy must have forgotten  the rule: ""Wishful thinking isn't good science"".",0
Russia doesn't get to come back into the fold.,0
Don't lift the sanctions even aftwr this war. Let him use what is not siezed from his reserve billions to rebuild Ukraine. They need to pay dearly for their disgusting behavior.,0
"""russia's defending their own territories"" here fixed it for you.",0
"It's time for us to give him a powerful ultimatum. A date to get out of Ukraine. The time has come, everyone sees how weak he is.",0
Does this mean that someone in the Kremlin has the courage to tell Putin the truth?,0
If Ukraine gives up their military it's all over for them. Territory concessions maybe but that's it.,0
Unless Russia backs out and returns ALL territories including Crimea and Luhansk and Donbas and lets Ukraine decide its own allegiance they shouldn't even bother to get on the negotiations table.,0
"Thank you Ukraine for holding up to the Russian army which has 80% of Putin’s army surrounding your country. Your efforts Ukraine, have greatly diminished and exposed Putin’s military might.  That’s why Putin is calling for China’s help",0
"Keep in mind that there's a big difference between what Russia deserves and what Russia can reasonably be expected to agree to. This guy is talking about the latter.
I think it's entirely feasible for Ukraine, with as much help as NATO can provide without becoming combatants,  to make this invasion so costly that Russia will decide to back out.
However, getting Russia to accept punishments as severe as it deserves would require defeating and conquring it, at least as thoroughly as we did to Nazi Germany and Japan in World War II. Even if we could somehow ensure that the war didn't go nuclear, the damage and death toll would be at least as large as it was for WWII. For everyone who's outraged about the possibility that Russia won't get the punishment that it deserves, ask yourself ""am I willing to pay a price that high for vengeance?"".",0
"And if Russia invades Estonia?
We always seem one move behind on the game.
What is the military plan to counterattack if Estonia
is invaded?
*silence*",1
"yea, whatever, you dont know Putin, study the chechen war, this is playing out the same way",0
"Um don't equate this to the 2003, two very different situations",0
"I would just like to congratulate the Russian forces. They have lost 3 major generals one general and 5 colonels fighting bravely. Now normally there are on average 1,400 regular troops to one general and 100 troops to one colonel. So we would expect the above looses to equate to Russian troop deaths to over 6,000 soldiers. However Moscow has informed us that only 500 troops have been lost. As we know Moscow never lies we must assume that instead of normally sending cannon fodder to their deaths, that Moscow has put all those generals and colonels in the front line to die instead. Well Done Russia (for those whose first language is not English please read the definition of sarcasm)",0
Where are these guys when Russia wins?,1
"Does not really matter if your Russian, Ukrainian, some kinfd of Nato bloke or Asian. Could we please tell our so called country leaders that we are bloody tired of this insane stupidity???  Getting kinda fed up with politics being valued more than humanity...",0
"He then said to me: “Son of man, I am about to cut off the food supply in Jerusalem. The people will eat rationed food in anxiety and drink rationed water in despair,
--Ezekiel 4:16",0
Use Russia's foreign reserves to rebuild Ukraine better than before. Make Kiev look more beautiful than Paris.,0
These two know nothing about dictators and Eastern Europeans. Retreat? Admission of guilt?? What are you talking about?!?!?!?? 😂,0
"It's been 3 weeks passed. Dear Ukraine, don't expect anything from NATO. THEY'RE JUST COWARD. Keep talking with US.",0
"you know why the long table, correct? 
so that the World cannot see how SHORT PUTIN IS compared to
 TALL MACRON

why do you think he's on a horse like short Napoleon?",0
Apparently Russia will be paying their debts using Rouble not USD.,0
Russia winning the war just losing some battles.,0
"Lol, they aren’t losing it.",0
Where do these guys get their information?,0
"Then Jesus said to the crowds and to his disciples: “The teachers of the law and the Pharisees sit in Moses’ seat. So you must be careful to do everything they tell you. But do not do what they do, for they do not practice what they preach. They tie up heavy cumbersome loads and put them on other people’s shoulders, but they themselves are not willing to lift a finger to move them. Everything they do is done for people to see: They make their phylacteries wide and the tassels on their garments long; they love the place of honor at banquets and the most important seats in the synagogues; they love to be greeted with respect in the marketplaces and to be called ‘Rabbi’ by others.

But you are not to be called ‘Rabbi,’ for you have one Teacher, and you are all brothers. And do not call anyone on earth ‘father,’ for you have one Father, and he is in heaven. Nor are you to be called instructors, for you have one Instructor, the Messiah. The greatest among you will be your servant. For those who exalt themselves will be humbled, and those who humble themselves will be exalted"".

YOU SHALL NOT MAKE FOR YOURSELF AN IMAGE in the form of anything, in Heaven above or in the Earth beneath, or in the waters below. You shall not bow down to them, or worship them, for I the Lord your God am a jealous God, punishing the children for the sin of the parents, up to the third and fourth generation of those who hate me, but showing love to a thousand generations of those who love me, and keep my commandments.

If my people who are called by my name, humble themselves and pray, AND TURN FROM THEIR WICKED WAYS, I will hear from Heaven, will forgive their sins, and will heal their land.

AND WHEN YOU PRAY DO NOT BE LIKE THE HYPOCRITES, for they love to pray standing in the synagogues and on the street corners, to be seen by others. Truly I tell you, they have received their reward in full.
BUT WHEN YOU PRAY, GO INTO YOUR ROOM, close the door, and pray to your Father who is unseen. Then your Father, who sees what is done in secret, will reward you.
And when you pray, do not keep on babbling like pagans, for they think they will be heard because of their many words. Do not be like them, for your Father knows what you need, before you ask him.

This, then, is how you should pray:

Our Father in heaven,
hallowed be your name,
your kingdom come,
your will be done,
on earth as it is in heaven.
Give us today our daily bread.
And forgive us our debts,
as we also have forgiven our debtors.
And lead us not into temptation,
but deliver us from the evil one.

For if you forgive other people when they sin against you,
your heavenly Father will also forgive you.
But if you do not forgive others their sins,
your Father will not forgive your sins.

""Matthew 5-7 NIV Bible Gateway"", we can use google search.
These are the teachings,
The Righteousness of our Lord Jesus Christ our God.
REPENT, and start doing what is right.
If you abide my teachings, you are really my disciples;
then you will know the truth, and the truth will set you free.

Yet a time is coming and has now come
when the true worshipers will worship the Father in the Spirit and in Truth, for they are the kind of worshipers the Father seeks.
GOD IS SPIRIT, so his worshipers must worship in the Spirit and in Truth.

In the New Heaven and the New Earth,
only Righteousness dwells.
May the Spirit of our Lord Jesus Christ our God be with you all.",0
Soviets. You know the way out: turn around and go home. Voilà,0
Then why are whole towns leveled?,1
"Just the US was aware it was not winning in Vietnam, Afghanistan, Iraq, etc.  meanwhile 1000s die and the biz of war produces lots of profits. Lol",0
Oh!  Just sit down and watch what will happen next. Russia is playing games with US and NATO.,0
An example of a very poor journalism,0
Senseless fantasy from west,0
"This guy is not serious, neutrality with Russia is no longer an option for Ukraine.
This commenter is in dreamland.",0
No don't reward his aggression - you will only have to come back and do the job later,0
"Is this a joke ?? Russia surrounded  60 000 Uranian troops in South East Ukraine, and they are about to get air strikes and bombs and die and that is half of all Ukranian army. Is this guy serious ??????????????",0
DS propaganda! Russian is crushing WEF!💪,0
"The dark is generous and it is patient and it always wins.
It always wins because it is everywhere. 
It is in the wood that burns in your hath and in the kettle on the fire. 
It is under your chair and under your table, 
And under the sheets on your bed.
Walk in the midday sun and the dark is with you, attached to the soles of your feet. 
The brightest light casts the darkest shadow.",0
"Then I heard what sounded like a voice among the four living creatures, saying, “Two pounds of wheat for a day’s wages, and six pounds of barley for a day’s wages, and do not damage the oil and the wine!”
--Revelation 6:6",0
"This war has been as disaster for everybody: Russia, Ukraine, and NATO.",0
Russia is Losing,0
Its Putin's war.  And Putin like General Custer is having his Little Bighorn moment in the Ukraine.  Putin's mindset and General Custer's mindset are very similar.,0
Oh but they will,0
This BS won't age well,0
"Putin promised to drop an atomic bomb 10 km from the NATO border !! He does not attack anyone, he is just testing nuclear weapons, said Lavrov !!",0
"I agree, Russia is not winning so far, the problem is that it is not losing either, I think. It just feels like a long agony on both sides.",0
Fire men of Belgium are in Ukraine.,0
oooo we are wining the war,0
USA baby not didn't war crime 🤔 afganistan 🤭Iraq🥺,1
How is Russia losing the war??,0
Don't trust putin,0
"This is very misleading Sir , plain propaganda machinery",0
Neutrality? That’s Russian propaganda,0
What a cheap propaganda!,0
"Putin just has to wait for republicans to take congress who will soften the stance. Putin just needs to wait it out, maybe hope for an interview with Tucker, Pompeo, and trump",0
Another neocon.,0
Russia sells everything that is going up in price this is great position to be in.,0
"Time to step down, run, and hide Putin.

Party is over.",0
Let the sanctions work .....it is necessary for the Russians to begin to think and find out if they want this new North Korean lifestyle. And you cannot let the oligarchs off the hook....they have destroyed so much for so many people in Russia and in the countries Russia has invaded and destroyed.,0
Every damaged building must be paid for by Russia.  Every death compensated.,0
When you POKE the BEAR YOU ARE GOING TO REAP THE BENEFITS GOOD OR BAD SO DON'T TELL US UNTIL YOU BEEN THERE AND FELT THE PAIN,0
"Today's Headlines
Food shortage warning as fertiliser rationed
--The Times UK  March 14, 2022",0
"So much commercial that I stopped the vid, backed up a page, and chose not to rec this channel anymore. Forced to watch 90 seconds of commercials for a short clip is ridiculous and rapacious thanks but talk to yourself. Bye!",0
CNBS,0
"Russia does not have the industrial capacity to sustain the war and the financials look very poor.  If Russia wants to win, or even hold place in Ukraine, Putin needs to send in a lot more troops and armor... He needs to expand his munitions production, because ammunition is expensive and it is one of the military products that were embezzled out... The money for ammunition stockpiles was diverted to the Oligarch Superyacht Navy.",0
"Today's Headlines 
Top producer China adds to global wheat jitters with poor crop health

--Reuters March 10, 2022",0
"Yeah man, we totally believe American media.",0
"Today's Headlines
World faces food crisis due to Ukraine war, Russian billionaire Melnichenko says

Reuters March 14, 2022",0
"For God so loved the world, that he gave his one and only Son, that whoever believes in him should not perish, but have eternal life.
---- Jesus John 3:16",0
"There is 2 side on field. Ukraine is seeing their cities slowly being taken without any serious interference from other nations, Russia is taking the regions he wanted, not so easy as they believed before it stated, but they’re taking. In any kind of measure this is a win for Ukraine. Every time I see this videos with this people saying Russia is loosing I wonder if they are earning something of just dumb.",0
"For this to work long term, Nato must vowed not to admit Ukraine, and Ukraine need to be given something substantial in return to go along with it..",0
"-----Today's Headlines-----

Russia-Ukraine War Threatens Wheat Supply, Jolts Prices

--The Wall Street Journal  March 13, 2022",0
"Can you imagine if the UN or NATO just simply stepped in just to protect and defend civilians, there's no reason for Russian jets or missiles to be straving residential neighborhoods.",0
I’m sorry but Russia isn’t losing.,0
"Russia is really bringing out that 80’s vibe strongly.
From a military perspective.",0
"History shows that sieges are extraordinarily expensive both in manpower and material.  Ukrainian supply lines have not been sufficiently cut off; if this report is accurate, then Putin has lost the initiative.  I really hope Ukraine pulls this off and is able to break out with counter-offensives, as I don't see any evidence that Putin has the stomach for a prolonged siege of any major city.  Fronts appear to have become static, which has given ample time for Ukrainian armed forces to dig in, mine and fortify their positions.  Taking Kiev will break the Russian army, attrition will be their end as the West pours men and material into Ukraine, by proxy of course ;-)",0
"Those saying that Russia can't stop or lose face with the world.... Russia lost its face in the first week. They're desperate now, having failed to take a single city by military action in 3 weeks. The only city captured surrendered without a fight.  Russia is losing in Ukraine and they lose more of Russia every day they are there. China has refused to throw them a lifeline and they're sinking fast. I imagine Putin will be ""retired"" within weeks",0
"Due to the thousands of NLAW and Javelin rockets in Kyiv now, Russian convoys are getting ambushed every time they come close to Kyiv. Ukrainians don’t have to completely destroy Russian vehicles. They just have to damage enough Russian resources so that a Kyiv siege is impossible.",0
I don’t think bombing near the polish border deters any NATO member in getting their weapons to Ukraine. Slava Ukraini.,0
"separately from this tragedy, I can definitively say Sky News is absolutely crushing it with their analysis. They are several tiers above even the most reputable American news outlet",0
"Now I know why some of the best boxers in the world have been coming out of Ukraine, born from strong stock and patriotism!! Grandparents mothers and fathers a like 💪 never seen anything like it as a people, not in my life time.. Ore inspiring 😍💪🙏🙏🙏",0
"Nearly 3 weeks and they still haven’t taken Mariupol, what an embarrassment to Russia.",0
"One thing is for sure, the outcome of this, win or lose is a loss for russia either way.",0
Actually it sends a message that more powerful AA defense is needed,0
"I can't see Russia now abandoning this ambition now. They will lose face to the world. If the resistance is too much, they may resort to using more destructive weapons, and this will mean the levelling of infrastructure pushing Ukraine into more poverty and deaths and greater crisis than we have now. Should Zelensky surrender and exile or risk that scenario? What a horrible scenario!",0
"My heart bleeds and cries out for Ukraine and its people. This is so wrong, it's a crime against humanity. May God bless, protect, provide and guide Ukraine to its glory. 🙏❤",0
"I hope in the future, there will be a time when war will be a thing of the past.",0
"Essentially, 80% of the Ukrainian territory occupied by Russia in the last 3 weeks is uninhabited areas or almost uninhabited areas of Power Plants, Rivers, water reservoirs, water irrigation channels, waterways, and National Parks.
In contrast, 20% of the Ukrainian territory, which Russia heavily attacks with bombardments ruining everything and everyone, is a heavily inhabited areas, where live about 10-15 millions people.
The Ukrainian Army does everything to protect people, but in this way loses essential its country, as the areas giving energy, food, water, connections between the cities are occupied by Russians.
Essentially, Russians purge the Ukrainian population, while seizing the Ukrainian land and economic resources. Seeing such events happening in the middle of Europe in the XXI century seems like the worst nightmare.",0
"This fight is literally for the right to exist. That's why they will fight till their last breath. No nation wants to be forgotten and renamed into ""Russia""",0
"🇺🇦 We stand with Ukraine 🇺🇦
We also stand with the brave Russian protestors protesting what their government is doing.
Protesting there versus protesting here cannot be compared.",0
We need to help Ukraine reclaim ALL of their borders after they win this war,0
"Send Zelenskyy everything he asks for so his people can live and fight in their own country, or spend a lot more money to deal with a humanitarian crisis of 45 million refugees into Europe, feeding them, building new homes for them, providing healthcare for them, and trying to find jobs for them.  It's really simple as to what the correct and most economical solution is.",0
God bless the Ukrainian people and foreign fighters! Long Live Ukraine.🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦,0
I have studied and done some deep analysis of the war and in my expert opinion I have come to the conclusion that Russia are ballsing this up big time.,0
"Russia's military has never been blitzkrieg or rapier style.
It is a glacier, moving by mass of people and destructive power.
That means it must have strong supply lines to keep pushing in people and ordinance.",0
"Why do I keep hearing everyone say that the war will be over if Kyiv is taken? It's one thing to take an objective, it's something else to hold it, especially when supply lines are as vulnerable as they've proven to be.",0
"Lidell Hart, ""the strategy of the indirect approach"".
Russias goal.
1. No see access for Ukraine
2. Land corridor to Krimea.
3. Eastern donetsk and Luhansk owned by russia
Kiev is the distraction",0
"Ukrainian troops are dominating in Dnipro. 
Slava Ukraine 🇺🇦",0
"Russia is looking weaker than I expected them to be, but then again they are trying to be a serious rival to the USA on 1/10th of the budget.",0
"I always thought Russia had a much stronger, more organized military. I guess I’m used to the total shock and awe of America’s military might.",0
"A good strategy for Russia in this war would have been to have prepared good amount of long range attack drones, take out the air defenses in the initial phase with overwhelming air strikes and cruise missiles attacks, hunt down Ukrainian aircraft and destroy them  before any Russian soldier sets foot on Ukraine territory. Then they would have transitioned to drone warfare to support ground forces thereby reducing aircraft and pilot losses. This would have also made the entire operation sustainable in terms of costs and Ukrainian infantry equipped with Javelin and small anti air missiles would constantly be hunted down. Unfortunately Russia still relies on old fashioned military tactics of using jets and attack helicopters to fight an asymmetric warfare. In the end they might be forced to use chemical weapons and tactical warheads to force Ukraine to capitulate. This would spell disaster as the Russian military would lose their credibility to fight and win against lesser opponents never mind against superior enemy like NATO.",0
I can't believe I am watching war commentary and analysis as though it were weather forecast or soccer predictions. humanity destroying humanity. most human beings don't have an idea about being human.,0
"I agree, don’t think about resupplying the Ukrainian forces
Just do it",0
Terrifying that sports announcers and war announcers sound interchangeably the same.,0
