Tweet,Label
"its not legitimate when you agreed an agricultural deal based on having a peaceful black sea..

Not that more than 4% of the grain was going to  real starving countries anyway...

But lets not the facts get in the way of reality..",0
"But sonce the UN deal Russian warships have been launching cruise missiles from these vessels located in Black Sea, hardly adhering to your ideals of a peaceful region. Or is it ok for Russian aggression as long as there is no retaliation?",0
Wait: so Ukraine armed forces strike an enemy warship on Ukraine territory; how is that terrorism ?,0
remarkable considering the bombardment of defenceless Ukraine civilians carried out by the Russians for most of this year,0
What about when Russia shell civilian targets in Ukraine?,1
"Yes. However, as they are British led and US satellites are used for navigation, both the US and UK are legitimate targets now?
Soon we will all live in the the global south once the north turns to glass.",0
"Given that the intent was clearly to abuse and sabotage the humanitarian line of grain export...

Let's see what tune you start singing when RU lights up UA ships and ports... 🙄",0
"You did not get the memo; To not have been informed about or made aware of a situation, especially one that most or many other people know about already.

-War with Ukraine is Over.

""It's a war against NATO, a war for our country's survival,"" Solovyov said on Russian state tele",0
"Probably not sunk, but probably heavily damaged

Initial reports said something sank tho, & that 5 were damaged. But we just dont know yet, & Russia never admits anything

They still insist Moskva was a random small fire onboard coupled with a storm (that didnt actually exist) 🙄",0
They struck ships that's were involved in the war too,0
"There is no war because it is a ""special military operation"" LOL",0
Navy is by definition a legitimate target!!!!,0
"Yes, but this is not the question. A humanitarian corridor is not a legitimate firing position. This attack ended grain export from Odessa.",0
Waters around Sevastopol are not humanitarian corridor. And in fact Russian Navy has used them to reach missile launch sites against civilian targets which Navy is obviously not. Russia has decided to use this as an excuse.,0
But  not England !,0
"Of course, but historically Russia has never admitted that others have the right to self-defense, because they are always right and have the ""moral authority"".",0
How are they different from cruise missiles?,0
Let me get this straight - Russia invaded Ukraine and now it's complaining that Ukraine is fighting back. Really?,0
Yeah...and cutting off Ukrainian wheat export by Russia during war times is also perfectly legitimate,0
Somehow different that using Iranian drones on civilian targets? MOD needs to get a grip that attacking military targets after you're the aggressor in a conflict doesn't equal terrorism.,0
"russia is erased from the worldmap. They are there, but we don't see them, we don't talk to them, we don't need them. And finally, we don't want them anymore. And maybe we never wanted them.",0
"Just remember the simple adage

Nothing Russia Says is ever true

That makes it easy",0
Military weapons targeting military ships. Pretty different from artillery and missiles used vs civilian neighborhoods and refugee convoys.,0
So that mean the port of Odessa being used to bring in weapons in returning grain ships is a legitimate military target.,0
"In this case, Russia has the right to strike at England, Germany and America, since Ukraine receives the supply of weapons and intelligence data from these countries.",0
"Not to mention Russia is illegally in Crimea, part of Ukraine.",0
"These guys …Hypocrisy overload, like they haven’t been bombarding the country with artillery, cruise missiles, drones and whatever else for the past 10 months, Russian MOD dudes must have been on psycadelics the full time… No words",0
"Besides, militaries have been using unmanned munitions and semi manned munitions since early 1900s. One man subs with a torpedo on them, gliders dropped from planes with bombs on them etc. it’s nothing new.",0
"Exactly. Now if they used the same drones to attack areas of high civilian concentration like Moscow's main commuter road in the morning then it could be. But who would go and do something like that, right Russia?",0
"Indeed, contrary to bombing civilian targets with unmanned drones. War crimes.",0
"I don't know why they are upset. It's war. They can drop whatever they like on Ukraine too, it's war.
Isn't that what war is? The idea is to win, at any cost.
I'd expect a serious response with no complaints from either side tbh.",0
"So, what does the Russian Ministry of Defense call the use of unmanned aerial drones and missiles to attack Ukranian civilians and infrastructure like schools?",1
What anti-surface warfare doing?,0
"If Russians aren't worried, they should be. Ukraine is coming. Winter is coming.",0
Nice.. Ukrainians winning by hitting legitimate military targets.,0
It is not just legitimate it is also very welcome,0
The Russians like to accuse others of what they themselves are guilty of already,0
"“Terrorist attack”? Really?🤔
No! It’s called “WAR”, which they started. 
-They were warned not to launch an unprovoked attack upon the ",0
It's where all of the Klibr cruise missiles are coming from right,0
"The land belongs to whomever can hold it and there are no rules as to how that might happen. 

For both sides.   We'll see who wants it more.",0
"How do we categorize Russian ""Special Operation""?",0
Also hitting Odessa port is legitimate,0
"""You sunk my battleship!""",0
MoD: Ministry of Defeat,0
Did Ukrain actually sink one?,0
Esp. since said Russian warships have been launching missiles toward Ukrainian cities from the Black Sea. Totally valid military target.,0
Ukraine barbad kab hoga... Russia jald hi khatam kar degi.... Ukraine aur Britten ko,0
It was a special military operation.,0
Well said,0
guess so but attacking the transport ships filled with grain against the grain agreement was over the line and a big mistake.,0
"You attacked their country and when they hit your ships you call them terrorist? Oh, the irony.",0
Has war been declared? Did I miss that?,0
"They also warned everyone not to post anything about it on social media.
Whinge whinge whinge...",0
Maybe it was Ukraine's special military operation 😉😉,0
"If #Ukraine️ acted by the #Russian playbook there would be air raids from Sochi to Petersburg, from Kaliningrad to Vladivostok.",0
Warships that are stationed inside Ukraine!,0
"Especially when those same warships are launching missiles on Ukrainian cities, targeting civilians and civilian infrastructure.",0
"The Russian MoD is not only a paper tiger, it is a cry baby as well 🤣",0
Then why is west whining on the reinstallation of sea blocade?,1
I am surprised that someone is still listening to all these Russian statements.,0
and this is perfectly legitimate to cut grain transport accourding to breaking the rules .,0
"Yeah, and using kamikaze drons against civilians objects are perfectlly fine 🤣",1
While hitting civilian targets with iranian drones...,1
"Also, cutting a grain deal is a perfectly legitimate answer to that.",0
Especially if it also happens on the Ukrainian territory which is occupied by Russia.,0
Good point. Well within the rules of war especially when you consider Russia is launching attacks from well outside of Ukraine’s territory.,0
All should know that there are no winners in wars,0
And the Russians could just leave Ukraine - that would solve the entire situation,0
"I am old enough to remember that they shelled odesa port a day after signing this black sea agreement. Russian logic:
We shell odesa port. Legitimate target under the agreement 
Ukrainians attack sevastopol port. Terrorist act we withdraw from the agreement.",0
Well I suppose Russian strikes on military targets in Odessa port are fair game now. Or do you disagree with that? And if you do I’d love to hear your reasoning and logic,0
Was it legitimate for the British navy to involve in attacking Russian ships? Also was it legitimate for the royal navy to sabotage nordstream pipes?,0
So is Russia cutting out on allowing UKR grain ship thro Black sea. It's war. Stop begging for goodwill from enemy,0
…and those ships launched missiles targeting civilians populations in Ukraine,0
So stop crying when Russia strikes at Kiev,0
Then they must be appalled by the things they have done in Ukraine?,1
Don't cry when Russia retaliate....,0
"If that is so, then it must also be fair for Russia to stop the grain deal.
Rationally, you cannot have it both ways.",0
"So Britain is at war with Russia then? This wasn’t carried out by Ukraine - so, by your logic, Russia is entitled to bomb London? Gloves off fella, means gloves off - be careful what you seek to justify and the glee with how you say it publicly",0
They can reduce Kiev to rubbles in hours! Don't forget that! Expect another wave of missiles on Kiev,0
what about the iranian drones?,1
"So russians try to invade other country, failed to do so and wish not to loose any military equipment, the same used for launching rockets which fell on civilian buildings, killing innocent civilians. Well then. I don't know what to say. I hope you have good insurance company!",0
The police murder over 1000 people per year in the United States since at least 2015. So this number isn’t even that much further from the norm in America.,0
"It’s over 1000 deaths. Police don’t document these things. The databases are made up from obituaries, social media posts, police scanners, news reports etc. in 2019 they discovered over 1200 police deaths. Some sites say 1500. The 120 number does not seem unlikely",0
"In a population of 250 million adults, that's a good number. How much less of 1% is that? 0.00005%",0
Using the word murder is extreme hyperbole. There are around 1000 cop killings every year. Around 90% are armed and most and a large percentage are entirely justified. I say this as someone who believes we need widespread reforms to how we police.,1
"...out of 10000000 arrests in one of the most heavily armed countries in the world (which is 0.01% of arrests).
Black and Hispanic officers more likely to kill blacks than white officers. 

Of the 1000, 50% white, 25% black. 135 officers killed in 2019

Murder?",1
"It's not ""murder"" when police shoot an armed criminal, which is the majority of the cases.",0
"According to a LA times story, dying in the hands of the police is one of the leading cause for young black men. Around 1 in 1000 is expected to die from that.",0
"The true number is not know. We do not know how many cops there ae nor how many ppl they kill each year, it's all an estimate.",0
We shouldn’t have a norm,0
Source?,0
What? Yes!,0
"Only about 26 a year are in question for right / wrong. And of that the majority are justified. 

Bet you didn’t know you’re 18x more likely to be killed as a cop then by one.",1
"This interchangeable use of ""killing"" and ""murder"" is reckless and wrong. Most police killings are justified, and therefore cannot be murder.

Too many police killings are murders, though. And many of the justified killings were avoidable, if cops were better at de-escalation.",0
Justified killings= murder?,0
Not murder when they shoot an armed criminal,0
Only if you knew the real stats and put out all of the stats not just look how many people where killed by cops. How about why were those people killed by cops and how about they stop committing crimes.,1
You aren’t factoring in the demographics of those killings and reasonings. Stats without details are pointless.,0
But you can't claim all of those are wrongful deaths by police. I'm sure many of them they were shot at so they had to shoot back.,1
"“Murder.” So it’s a logical fallacy to believe a police shooting can be justified under the law?  Your statement; That’s an absolute, which is actually the logical fallacy here.",0
Back up your statement please,0
Lies,0
And how many were in self defense? Do not throw numbers out there without any evidence! We all know Floyd's long list of crimes.,1
2019 was a 30 year low in police caused deaths...facts matter.,0
How many were white and how many black cus apparently there is a difference I hear?,1
"Classifying all of these deaths as ""murders"" is incorrect. Most of these killings were justified. Please stop spreading misinformation.",0
"more than 15,500 people have died from gang violence across the United States in the last 3 years! Most of which or African Americans killing African Americans, but you ain’t ready for that conversation
",1
BS...there are criminals that violently fight them. You want a rapist hunting down your daughter?,0
"put the numbers killed by own own violent citizens over that time period and compare that to other western countries. 15,000 x 5 = 75000. in my country its less than 200 in 5 years. see how you're not after the real issue like so many in your country.",0
250k die at the hands of doctors each year from medical mistakes. What she would we do with the doctors?,1
Is there a source available?,0
happy to retweet this if it's ture but can you provide some sort of source?,0
"I wonder who has killed more Americans, police or Covid.",1
And how man black on black crimes involve shootings?? Trying to make police look bad is the stupidest angenda I’ve ever seen.,1
What were the circumstances of the killings?,0
"How many Cops have been killed?, how many protesters have killed someone? Can we see figures?",1
"Since 2000, police have killed about 10 people in Finland. During the same period 2 police officers have died in duty. You can multiply these figures by 60 to compare to U.S., as we have 5.5M people in Finland.",0
Are you going to be that naive and think that all 120 lives are innocent?,1
Defund the police,0
Anyone trying to justify this: My country (Sweden) has had 38 ppl killed by police since 1990. And WE have issues!,0
SOMEBODY GO PROTEST WITH ME TONIGHT,0
More deaths than CORONOVIRUS,0
"I don't understand how opposition to this is controversial. No matter how people feel about capital punishment, can't we agree that the state should not murder people without a trial?",0
How is that even possible. Like. Genuinely asking. We don’t even get that many murders in my whole province in A YEAR.,0
You need TWO YEARS of training to be a cop in Germany.  Here it's 21 weeks.,0
"If this is “true”, then how about the number or black on black lives lost in cities such as Chicago, Atlanta, LA, etc. Do those black lives not matter because it doesn’t fit the narrative?",1
How many were Black?,0
"Damn, I didn’t know all of those people were 100% innocent and were killed for no reason",0
2020 is by far the worst year,0
Does this # include the 5 lynchings?,0
"Were these all unarmed? Need more info than just the number. There are reasons behind that number (right and wrong, I assume).",0
Well despite all the shit that's happened in the past 20 days. I'd say I'm impressed.,0
"Are you not gonna mention all of the innocent cops that have been killed by the people rioting? Mention the whole story, not just the part you want people to see. If you wanna be equal you have to show all sides.",0
Statement is upsetting. How many of these shootings were justifiable? You’re making it out to look that officers are going around killing people. This statement has omitted information to outrage the public. Your part of the problem not the solution.,1
This stat is skewed with all the unrest and anarchy going around.  Not saying we don’t need reform but let’s think about peoples anti police sentiment that causes the stat to be inflated,0
Most grateful for a link to the source of this horrendous number. Waititng patiently.,0
"In Ireland, from 2007 to 2016, police were involved in 129 fatalities.  TOTAL. In TEN YEARS.

And today the country is grieving because a policeman was killed. Because their police are respected.

Unlike in the US.",0
"Honestly, when I first read this, I read it backwards, 20 lives, 120 days.

Now I'm reading it again and like... WTF

Either way, its horrible.",0
24 young people were killed in Chicago alone over one weekend during the riots. 18 overnight. Not by police. The elephant in the room ... The US gun issue.,0
I don’t even call them cops. I call them murders with a privilege.,0
don’t forget the 5 that they lynched.,0
Yet another horrible milestone for America - Number 1 for the number of people killed by its own police force. Tragic.,0
"Over 1,000 in 2019.
  UK: 3
Denmark:  0",0
Lies rumor and PROPAGANDA. Here's the actual stats. However this list also doesn't state context. ,0
"How many of these people killed were a threat to the lively hood of the offices, and or others",1
Do you have a source?  I don’t doubt you but I would like to research myself.,0
does this include the guy they let drown saying he was faking pleading for help and repeatedly going under? ,0
"to put this in perspective:

1 officer has died as a result of the riots
9 officers have died in the line of duty since George Floyd's death

WHAT ARE THEY AFRAID OF?!",1
"By comparison, UK police have killed 28 people in the last 10 YEARS. All of who me were confirmed armed, and most of whole were committing terrorist acts.",0
120 out of 328.2million. While every loss of life is sad I’m sure they lose more to car crashes or cancer.,1
I’m sure 120 of those are Black people.,0
This is terrible!  USA needs to learn from Europe!,0
jeez. how are you tracking that? Feels like it should be a huge dashboard.,0
Let’s make a difference in this world!,0
"According to USA Today, 80000 Cops in the US have been charged with some criminal case over the last decade.
Don't think this should shock you much.",0
Source and how many of the 120 were armed,1
"That's about 6 murders each day, and 2190 per 365 days (a year)",0
And how many have been lynched with the government's support?,0
We dont even kill 120 people in 20 days who are on death row.,0
Don’t forget that baby that was a victim of miscarriage bcs a police officer kicked a pregnant woman’s stomach,0
To be fair there has to be a significant number of those that were justified killings. Not trying to excuse cops for killing ruthlessly and senselessly. But come on you can't just put the whole number out there as one big bad thing.,1
"Police brutality is a culture, not a matter of a few bad apples. “bad apples come from rotten trees"" ",0
"Honestly i like this argument and i think its valid but if i tell my parents about it theyll just say ""OH WELL HOW MANY COPS D!ED?? HUH??? HOW MANY PPL DID THE RIOTERS K!LL"" and im sad that i cant argument back :(",0
This is crazy,0
Seems like they are getting more evil every day. Almost like they are thinking they are more above the law than usual,0
Defund the police department,0
Whaat? That's hardcore. Damn!!,0
Why would you think they would stop? Because people are running around in the streets?,0
"Correction: Police in the US have killed 120 people since George Floyd, *that have been reported and confirmed.*",0
"did the mental math, 6 a day",0
Can you please provide a source for this number? It'll be helpful in a conversation I'm having with someone who doesn't believe this number and I've googled everywhere and gotten different results.,0
"20 days, 120 lives in same 2020",0
How many of those were armed?,0
"They only know CONTROL, so when things are getting out of control they try to do the very same thing that got them in this predicament. They hope that fear is enough to get things under CONTROL.",0
"Police answer around 500,000 911 calls a day that's 10,000,000 in that time period alone. If we assume 1 quarter of them are violent calls thats 2,500,000 violent calls they respond to. 0.000048% that is the number of deaths in comparison to the number of violent calls.",0
"Fu*k me, but do you guys need better police.",0
"Which ever way you look at it, whatever side you believe, there is one thing that is glaringly obvious.
The current methods of policing do not work, and people, on both sides, are paying for it, with their lives.
",0
do you have a source for that? not doubting it at all just wondering where the number comes from,0
"If they are stealing and burning down stores they should die, more people have died in this riot than the police have killed in 6 YEARS",1
and how mean cop's have died since the  George Floyd ? how mean people have died since the  George Floyd ? your not talking about them .,1
4 cops have also been killed during that time frame.,1
Could you please give us some substantiation for this? Some sources?,0
??? shouldn’t it be life…,0
Glad to see Justice served. ,0
"Imagine R kelly was sentenced 30 years who didn't kill anyone, black lives matter",1
They gave him 21 cause his white and they gave R.Kelly 30 cause he's black. Justice for blacks,1
That’s not enough,0
so after 21 years george floyd will comeback to life?,0
Should’ve been life smh he’ll prolly get K1|_|_3|) in there tho,0
Not rap! But still a W!,0
not enough but it’s better than nothing,0
Unfortunately this doesn’t change anything. He wasn’t locked up when he killed him on the spot and after all these years now he’s been sentenced and for what? 21 years? That’s not nearly enough time.,0
But 30 years for R. Kelly for sexual allegations because he black?,1
"That's not enough.. Can 21years bring back a life, can 21years take care of George 's sanity?
I thought the judiciary system in Africa is wacked but menh,this right here I messed.",0
"I'm aware George Floyd is not coming back, but what will happen to Derek after 21 years? A free man? Common!",0
Can we all stop taking the knee now?,0
"nigga tay-k got 55 years, how he get 21",0
"Considering the effect it had on the entire world, he should have got way more",0
Whilst Kelly got 30,1
Nah this is below the bar,0
Great piece of News... Finally justice has prevailed,0
And R.Kelly got 30yrs,1
"And they gave R kelly 30 years, 21 years is too small na",1
Floyd is getting justice at least but this is not enough,0
Yes! It should be for life tho,0
He will be out very soon...that much I know...,0
Whilst R. Kelly goes in for 30yrs,1
R Kelly got 30 smh,1
Should be 30+,0
Not even mad about this he not gonna last long in there anyway,0
ik bro is praying he don’t go to louisiana,0
but r kelly gets 30 years,1
don’t fall it black people stop voting and start in investing and learning,0
Just. 21 years,0
he got 41 for the people confused,0
In south Africa some have been discharged few days  back for the killing of an innocent civilian,0
Tis same type of punishment is what is suitable for ABBA Kyari of life sentence,1
"R kelly got more than that and he aint kill nobody. Thought we held ""Professionals"" to a higher degree",1
R.kelly 30 years and chauvin 21 years ,1
Why not eye for an eye,0
Less than R Kelly but he will be dead in maybe a year or two,1
That's a slap on the wrist,0
not the electric chair?,0
Death case for 21yrs ? Funny,0
Mfs really saying 21 years only and r Kelly got 30 bruh there completely different cases,1
This seems not enough for me but I’m glad it’s happening anyway. This is a way to start!,0
The kind of news I like to see. Black Lives Matter.,0
This title is a bit misleading. He was already convicted on state charges whereas this refers to the federal charges,0
R-Kelly didn't kill anyone yet he got more,1
Not enough! People got life for marijuana possession,0
"Is this justice unjust 
Or
The injustice is the justice ❓

Involved in killing innocent person, 21yrs.

Involved in dealing with sex, 30yrs.",1
less than R Kelly…,1
Should be life for taking a life.,0
Why only 21?!?!?!? He should be in there FOR LIFE,0
America’s Justice system… wow… probably be out in 7 for “good behavior”… USA - where racism is alive and well - and in the courts too,0
Tables turn he is gonna know ...why they say life turns around in a minute,0
We LOVE YOU AND ALWAYS WILL!!,0
Indeed Black Lives Matter,0
Derek Chauvin is cancelled.,0
Wow I didn’t know you cared about it,0
"How about all the people sold into chattel slavery in Libya? Don’t they deserve accountability,",1
"I bet the TOTAL TIME in DELIBERATIONS was:

9 HOURS & 29 MINUTES",0
"Thank God we have a healer as our President today. If the Former Guy was still in power, no doubt he'd throw arson all over the #verdict no matter what it was. Or maybe do some ""both sides"" s**t.

Hopefully, Derek Chauvin spends the rest of his miserable life behind bars.",0
"
The average time spent in academy training for police is at best 6 Months!  6 Months education for one of the most important jobs in the US. Don't defund police ...have adequate Education and Training requirements.",0
"A step in the right direction is still just one step. Take a breath then start working on the next one, imo.",0
I hope this verdict will bring about a sea change how the police deal with members of the black and minority ethnic community in the United States of America,0
Do Libyans lives matter?,1
George Floyd was george floyd's killer...  Today was just a modern witch hunt that will make the people who protect the rest of us afraid to do their jobs.,0
Bengazi Navy seal 6 team deserves justice as well! I believe your day has already arrived,1
U know what the killer of Floyd deserves his sentence. My black friends deserve this and more but this is not the end. Until all people recognize that we are all Americans this will not stop. Also until black Americans are brought up to full Americans this will continue,0
Absolutely but there needs to be more accountability for every single unnecessary death by cop.,0
"No they didn't. Chauvin will just appeal all the way up to the Republican Supreme Court, which will overturn the conviction based on Amy Coney Barrett's deciding vote.

Meanwhile, Black Americans will continue to be slaughtered with complete immunity, by American cops.",0
Pandering to this cause won’t make you anymore appealing.,0
How about our warriors in Benghazi did they matter and their community and their families?,1
And when are they going to hold you accountable for destroying libya...,1
Unless they are in a country that has resources the US wishes to plunder.,0
We will take the maximum sentencing. Let us pray that Judge Cahill gets sentencing correctly.,0
When will you be trialed for destroying lybia? Can t wait to live that time.,1
to early for elections propaganda,0
How about South Chicago? Do they matter there? No one marching for the kids,1
It was all they could hope for. He is still gone.,0
ALL LIVES MATTER,0
This is just the first step. We don't have justice until every Derek Chauvin out there is held accountable.,0
"The Judge said that sentencing will be about ""8 weeks from now.""
/
...and to the mainly Black attackers of Senior Asians:
#asianlivesmattertoo ",0
"Ambassador Stevens, Smith,  Glen Doherty, Tyrone Woods lives mattered. 

AND their Families DESERVE  to see those who turned their backs on them to be held ACCOUNTABLE. 

That would be YOU. 

#Benghazi",1
You were never held accountable - remember Benghazi,1
"The Benghazi Five’s family and community deserved for their killer to be held accountable. 

They never got that accountability. 

What difference could it possibly make now?",1
Wish the judge would have slowed it a pace. Those verdicts needed to be delivered loud and very clear. RIP Mr Floyd,0
Accountability to all of those that break the law.  That includes perjury and violating national intelligence laws,0
Hopefully the people of Libya get the same accountability!!,1
"Now, who should hold you accountable??",0
"While Chauvin is in prison, perhaps he will see the light, have a change of heart, admit his wrongs, and make amends by fighting against systemic racism.",0
George Floyd is still dead. Nothing can make up for that. ,0
"A milestone, but is it really over before appeals?",0
Haiti too?,1
"NOT ONLY, ""Always and forever, Black lives matter."" BLUE, BROWN & BLACK, etc... MATTERS their existance given by the Creator.         ",0
"If Yellow lives matter?
If White lives matter?
If Latino lives matter?",1
Honestly the trauma and intentional hurt millions could have avoided if only the gop stopped Putin from swaying the election against you.,0
"And all it talk was repeated threats against the jury and the legal process. Black lives matter, but not their property, not their rights, not their safety. Go team, I guess.",0
"
The men that got killed in Benghazi need accountability also! Nice picture!",1
What about seth rich?,1
What about Ricky Ray Rector in Arkansas?,1
Yes I don’t understand ones you handcuffed a person why police has to do more force. He is handcuffed.,0
And thank you to all the American troops who made the ultimate sacrifice. You will not be forgotten.,0
"Respectfully…

Aren’t you forgetting something?!?

Oh, no, that was #SleepyJoe who forgot those Americans *behind enemy lines*!!",0
Holy shit the people in your replies are as bad as you are. Thousands of Americans are now hostages of the Taliban. This is nothing to celebrate.,0
What planet are you on???,0
What a disgusting tweet. No combat casualties since Feb 2020. Afghanistan hadn’t been a war since 2015. The only individuals that deserve any thanks out of this mess are the 13 fallen soldiers and the other brave members of the armed forces that remained there in the waining hrs,0
"Pure simulacra. Reality has become untethered from the ship and is now drifting through space. We build constructs from the pieces of former constructs, and everyone is lost in the maze.",0
"Thank you President Biden, our troops and our allies.",0
Where do we start our next war?,0
After shamefull defeat,0
"I implore everyone to check out the resumes of the naysayers. You will quickly see a pattern. This was ultimately a good thing, and it needed to be done.",0
I give it 20 minutes until FOX News has some guy claiming to be an American on the phone who was left behind.....just saying....,0
"Absolutely incredible work by everyone who worked tirelessly to get everyone out. Also, give eternal gratitude to the 13 members of our brave military that gave their lives during this withdrawal.",0
Thanks to our allies also who helped with evacuations.,0
Will you continue to thank him as all of those left behind come to light?,0
"Americans who want to leave are still there being blocked by Taliban. Just closing the door and claiming ""that's all"" won't work.",1
The ONLY downside... there are still a few hundred Americans stranded in Afghanistan.,0
15+ years ago a mom whose son deployed to Afghanistan gave me a bright yellow ribbon to put on my car antenna until all of our troops were home again....today I cut it off,0
The pentagon just said Americans are still there,0
My son is out of there now and on his way somewhere. I cannot even describe what I’m feeling right now. Thank God.,0
"The only honor left intact was provided by those you loathed the most... honor, duty ...country",0
trillion dollars wasted and we have worst shit then 20 years ago.,0
"The war isn’t over until EVERY AMERICAN is brought home.

@POTUS
 said he wouldn’t leave Afghanistan until he got every American citizen out. And Biden walked that back. Now, we have Americans being hunted.",0
Best evacuation from lost war in History!!! Viva Biden,0
This is not the time. Thank you to 20 years of service members and their families for their sacrifice. We will forever be grateful to you.,0
"Thank God! And, of course, President Joe Biden. God bless and thank you to all those who served, and most especially those who lost their lives. And to all the families. ",0
"13 Servicemen men DEAD because of this disastrous ""plan"". Wow.",0
"Some citizens were left behind, though.",0
President Biden ended our 20 year nightmare that enriched Politicians and Military Contractors at the cost of the men and women in the US Military that sacrificed everything.,0
250 Americans left behind.,0
An older and experienced President who is not worried about his political future was finally the right man to make a difficult but correct decision!! He saved many American Service Members lives by finally pulling us out of that mess !,0
The war isn’t over .We just empowered our enemies.The battle will move to a place of their choosing.Not ours,0
I’m so damn happy. No matter what he did he would have been blamed. I’m glad he stuck to his decision and saved all those people.,0
You mean the war has just re-begun because now they have all the tools they need ridiculous,0
Before anyone blames President Bush again please watch the Hulu series 9/11 one day in America. We’ve forgotten the emotion and need for action that came that day.,0
Now do American citizens who are desperate to come home.,1
Tell that to the thousands of american citizens and allies Biden left behind. You people have no shame,1
Does anyone think that Al Qaeda or ISIL think that their war against western civilization is over? We are most vulnerable when we ignore the threat from enemies who believe that they are at war with us.,0
Wtf u on about. Loads of people are dead because of the mess he made of this.,0
"How about our gear, other civilians, classified data, etc? But ya thanks president Biden",1
One American still left is Charlotte Maxwell-Jones who’s been waiting to get on a charter flight w/her rescue dogs but was refused multiple times. Pls help her find her dogs at the airport!! Help her & staff evacuate w/their animals!,0
I'll never forgive Rumsfeld or Bush because it didn't have to be ...,0
And the war on women and girls reignited with a fully equipped Taliban ready to make their lives hell.,0
Promises made.. minimal lies.. how refreshing,0
The fact you can say thank you after what’s happened is a joke,0
If you don't give a crap about the people left behind...https://americanhumane.org/press-release/american-humane-condemns-death-sentence-delivered-to-contract-working-dogs-left-behind-in-kabul-afghanistan/,0
"
Yeah don’t worry about the people he got killed and the fact that he gave away enough of a military war just for them to kill all of us one day",0
Tell that to the person the tailban hung from our helicopter. Tell that to the 40 million people going back to the 8th century. Tell that to the Afghan women.,0
"Thanks for killing 13 soldiers, supplying the Taliban army and leaving Americans behind ! Great job",0
Yep. Thanks for leaving all that military hardware. 2 questions: how long until those arms are turned against and kill US citizens? And who will be responsible then?,1
How about the 20billion in military equipment and weapons?,1
Thank him for all the lives that were lost.  I hope he can sleep good at night because that is all on him,0
I hope you are correct. I unfortunately think it's a pause.,0
Do you know if we got all of our citizens out too?  At least the ones who wanted to leave?,0
What a SUCCESS!!,0
250+ still there.,0
What a joke,0
You’re kidding right?,0
Yeah until ahit hits the fan and we go back....,0
Thank you President Biden.,0
Now another one will begin......,0
"
How about those who helped us but left behind?",1
"There are no decisions that a president makes that don’t involve countless consequences for nations, communities, families & individuals - positive & negative. One bigger issue is the devastating impact of a polarized partisan value system that is not a 2 party system of govt.",0
Apparently you didn't read that some special forces were accidentally left behind and that military service dogs were intentionally left to die. Apparently you missed that.,1
"Nothing is over. 
Now ISIS and the Taliban will bring the war to the US.",0
Well…durka durka….Trump…durka burka…impeach biden…durka…Hunters laptop…durka durka…ivermectin- durka.,0
Who was the first US President to say we need to leave?Say his name Joe!,0
"Thank him for the 13 military murdered and the horrific torture that the awaits the Americans and Afghan allies he left behind. 

8/20/21-“Let me be clear, any American who wants to come home we will get you home.”~ Biden",0
What the hell is wrong with you?,0
"We have a brave President who took on this task and finished it! Unfortunately the former guy started it all wrong. Would Biden have handled this from start to finish, it would have ended much different. I’m sure he would have not enabled the Taliban to return and seize power!",0
Folks tweeting “thank you” here are certifiably out of their frickin minds,0
"Lies.
There are people still trapped over there.
STOP BRAINWASHING PEOPLE WITH YOUR BLATANT LIES",0
There are still US military K-9’s still left in crates to die! That’s unacceptable!,0
